2025-04-03T08:27:56.754Z GET /logs/recent 200 45ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:27:58.582Z GET /logs/recent 200 5ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:28:00.893Z POST /verify 200 13ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:28:08.707Z GET /logs/recent 200 6ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:28:18.672Z GET /logs/recent 200 4ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:28:27.467Z POST /api/verify 404 13ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:29:54.320Z GET /logs/recent 200 5ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:29:54.325Z GET /status 304 12ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:29:55.818Z GET /logs/recent 200 4ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:29:57.342Z POST /verify 200 7ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:29:58.290Z POST /verify 200 8ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:29:58.993Z POST /verify 200 8ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:29:59.626Z POST /verify 200 8ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:30:01.390Z POST /verify 200 15ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:30:02.053Z POST /verify 200 9ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:30:02.770Z POST /verify 200 8ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:30:05.938Z GET /logs/recent 200 5ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:30:10.723Z GET /logs/recent 200 6ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:30:10.728Z GET /status 304 12ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
2025-04-03T08:30:13.650Z GET /logs/recent 200 4ms - ::ffff:127.0.0.1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
